,0.1,0.35,0.55,1.0,,,,
assignment-number,single-pdf,evidence-of-attendance,industry-insights,raw-score,meetups-count,interviews-count,final-score,comments
44,1,1,1,1,0,0,1,
47,1,1,1,1,2,0,1,
35,1,1,1,1,2,0,1,
21,1,1,1,1,2,0,1,
27,1,1,1,1,2,0,1,
29,1,1,1,1,2,0,1,
4,1,1,1,1,2,0,1,
3,1,1,1,1,2,0,1,
22,1,1,1,1,2,0,1,evidence-disputability (1 of 2 RSVP OK w/ previous notice)
43,1,1,1,1,3,0,1,"evidence-disputability (submission includes three events presented as interviews, with sufficient evidence for interviews and nearly-sufficient evidence for events OK)"
42,1,1,1,1,2,0,1,
26,0.5,0.9,1.15,0.9975,2,0,0.9975,file-not-single; file-not-pdf; evidence-disputability (1 of 2); insights-thoughtfulness++ (journal entry format and narrative style and length of narrative)
38,1,0.95,1,0.9825,2,0,0.9825,"evidence-disputability (1 of 2, uses business cards which would be acceptable for an interview assignment)"
9,1,0.95,1,0.9825,2,0,0.9825,"evidence-disputability (1 of 2, however it includes contact info, which is sufficient evidence had this been an interview-style event)"
41,1,0.95,1,0.9825,2,0,0.9825,"evidence-disputability (1 of 2, nearly-sufficient plus RSVP OK)"
1,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
13,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
33,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
50,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
23,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
16,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
10,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
34,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
30,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
14,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
12,1,0.9,1,0.965,2,0,0.965,evidence-disputability (1 of 2)
46,0.6,1,1,0.96,2,0,0.96,file-not-pdf
18,0.6,1,1,0.96,2,0,0.96,file-not-pdf; evidence-disputability (conference attendee badge OK)
28,0.6,1,1,0.96,2,0,0.96,file-not-pdf
36,1,0.85,1,0.9475,2,0,0.9475,"evidence-disputability (2 of 2, however 1 uses business cards which would be acceptable for an interview assignment)"
20,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
31,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
8,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
32,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
37,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
45,1,0.8,1,0.93,2,0,0.93,evidence-disputability (2 of 2)
7,1,0.8,1,0.93,2,0,0.93,evidence-presence (1 of 2)
6,0.6,0.9,1,0.925,2,0,0.925,evidence-disputability (1 of 2)
15,0.6,0.9,1,0.925,2,0,0.925,file-not-pdf; evidence-disputability (1 of 2)
48,1,0.7,1,0.895,2,0,0.895,evidence-disputability (1 of 2); evidence-presence (1 of 2)
11,1,1,1,1,1,0,0.8,
24,1,1,1,1,1,0,0.8,
17,1,1,1,1,1,0,0.8,
19,1,1,1,1,1,0,0.8,
25,1,1,1,1,1,0,0.8,
5,0.6,1,1,0.96,1,0,0.768,file-not-pdf
40,1,0.8,1,0.93,1,0,0.744,evidence-disputability (1 of 1)
39,0.6,0.8,1,0.89,1,0,0.712,file-not-pdf; evidence-disputability (1 of 1)
2,0,0,0,0,0,0,0,assignment not received
49,0,0,0,0,0,0,0,assignment not received
